car_id,brand_id,brand_name,car_name,category,energy_type,price,price_min,price_max,launch_year,sales,range,battery,power,torque,length,width,height,wheelbase,seats,acceleration,max_speed,fuel_consumption,rating,review_count,intelligence_score,comfort_score,space_score,performance_score,image
11,3,长安,UNI-V,轿车,燃油,124400,108900,139900,2024,31102,0,,138.0,265,4876,1899,1483,2700,5,10.6,167,7.8,4.8,0,8,7.1,6.2,9.1,https://img1.xcarimg.com/b133/s12700/2000_1500_20200407154504686919049036860.jpg
12,3,长安,UNI-K,SUV,燃油,167400,145900,188900,2024,23889,0,,233.0,483,5084,1910,1710,2887,6,10.8,248,9.3,3.9,0,9,7.9,6.9,9.1,https://img2.bitautoimg.com/autoalbum/files/20230504/858/202305042650321482885835010_3000x2000_w1.jpg
13,3,长安,深蓝SL03,轿车,纯电动,169400,145900,192900,2024,34799,570.0,83.7,190.0,513,4816,1827,1484,2893,5,6.0,183,,4.3,0,6,6.4,6.8,7.2,https://img3.bitautoimg.com/autoalbum/files/20230201/925/202302011720_3000x2000_w1.jpg
14,3,长安,深蓝S7,SUV,增程,183900,149900,217900,2024,38248,200.0,30.1,160.0,433,4901,1970,1729,2850,5,7.0,164,2.4,4.7,0,11,6.8,8.3,6.7,https://img2.bitautoimg.com/autoalbum/files/20220406/810/20220406183036303611568932208_3000x2000_w1.jpg
15,3,长安,逸动PLUS,轿车,燃油,92400,76900,107900,2024,41903,0,,118.0,216,4667,1892,1486,2847,5,11.0,186,5.6,3.9,0,6,7.5,7.6,8.6,https://n.sinaimg.cn/sinakd20210102ac/780/w1360h1020/20210102/1a31-kherpxx0806062.png
16,4,长城,哈弗H6,SUV,燃油,129350,98900,159800,2024,36703,0,,135.0,241,4944,1983,1782,2725,5,10.5,166,7.7,4.0,0,12,7.5,7.0,6.9,http://www.anhuadiangun.com/uploadfile/images/20221012231906641.jpg
17,4,长城,哈弗枭龙MAX,SUV,插电混动,159800,139800,179800,2024,38759,81.0,15.8,150.0,450,5072,1909,1756,2840,5,7.8,165,2.4,4.7,0,9,7.7,6.7,7.4,https://img95.699pic.com/photo/60067/8673.jpg_wh860.jpg
18,4,长城,坦克300,SUV,燃油,254800,199800,309800,2024,24291,0,,167.0,282,4630,1921,1748,2700,6,10.8,189,7.9,4.6,0,12,8.7,8.3,7.7,https://img95.699pic.com/photo/60054/8591.jpg_wh860.jpg
19,4,长城,坦克500,SUV,油电混动,365000,335000,395000,2024,11898,0,,180.0,417,4697,1937,1727,2714,7,10.1,180,7.2,4.4,0,8,9.0,6.6,9.4,https://img95.699pic.com/photo/60059/6049.jpg_wh860.jpg
20,4,长城,欧拉好猫,轿车,纯电动,134800,119800,149800,2024,52141,401.0,53.0,105.0,353,4641,1823,1454,2852,5,6.4,196,,4.1,0,12,8.2,7.5,8.0,https://img95.699pic.com/photo/60057/7382.jpg_wh860.jpg
21,5,奇瑞,艾瑞泽8,轿车,燃油,122900,108900,136900,2024,31524,0,,156.0,307,4867,1840,1466,2752,5,10.4,176,6.2,4.5,0,8,7.1,8.6,6.3,http://upload.bbtnews.com.cn/2019/1122/1574406006938.jpg
22,5,奇瑞,瑞虎8 PRO,SUV,燃油,156400,129900,182900,2024,24418,0,,187.0,351,4834,1979,1772,2725,5,10.5,168,9.8,4.8,0,6,7.3,6.6,8.9,http://img1.bitautoimg.com/bitauto/2018/12/05/75347756-bebe-4785-a2b1-8bb10f8d594b.jpg
23,5,奇瑞,瑞虎9,SUV,燃油,177900,152900,202900,2024,25406,0,,187.0,282,4960,1938,1778,2867,7,10.8,179,9.8,3.9,0,7,6.9,9.1,8.6,https://ugc-img.ifengimg.com/img/2023/1/6/8MKtl5WKLwx/3fdf404a-8284-43fd-8cce-e55748439efe_w1620_h1080.jpeg
24,5,奇瑞,星途揽月,SUV,燃油,208900,183900,233900,2024,25168,0,,192.0,384,4679,1934,1736,2854,5,10.2,200,9.6,4.4,0,10,9.2,6.2,8.2,https://ugc-img.ifengimg.com/img/2023/1/3/8MFMQ8oA9iP/62840028-2842-411c-98ec-8cc31708fdca_w1214_h809.jpeg
25,5,奇瑞,捷途旅行者,SUV,燃油,164900,139900,189900,2024,24516,0,,187.0,381,5024,1935,1705,2700,6,10.6,176,7.5,4.3,0,6,8.0,6.4,9.3,https://www.chery.cn/assets/images/pages/home/loading-pc_49.png
26,6,蔚来,ET5,轿车,纯电动,323300,289800,356800,2024,17174,550.0,81.9,300.0,925,4953,1819,1484,2709,5,5.3,196,,3.8,0,8,9.3,9.4,6.1,https://is.zobj.net/image-server/v1/images?r=h7XElU_q4dtAC-maJp8PfT1L6q-Q0HVX2nkJ0asBKaTkf1Hz8sXtrx3j60AmzW7xF7rBX4HhRud2Nv0FzZYG8Ae12qXAuwtIyjKJHxPAU3GMi-GIARqmu76Q0d5WWu8i_o2glebFb2zo20BjZlaJIfxZuTekt13XChfqAwnjbPgBULW8cNqEiUXGIJaTHXvwd1B7QNL2_fdaGgDZs6RptToIYmJ9ZzeUg7r88jRdDpQ41oJNGWfPXKIxYqc
27,6,蔚来,ET7,轿车,纯电动,497000,458000,536000,2024,17327,675.0,98.1,360.0,1027,4783,1826,1493,2763,5,5.5,232,,4.9,0,9,9.2,6.8,6.6,https://www.jun368.com/images/201407/goods_img/1179_P_1404661833001.jpg
28,6,蔚来,ES6,SUV,纯电动,402000,368000,436000,2024,19167,625.0,91.7,400.0,1133,5009,1922,1752,2706,5,5.7,211,,4.1,0,9,6.4,9.1,9.0,https://pic.nximg.cn/file/20191203/30657089_081908061082_2.jpg
29,6,蔚来,ES8,SUV,纯电动,587000,548000,626000,2024,6427,580.0,86.1,400.0,1349,4713,1925,1758,2789,6,4.9,204,,4.2,0,11,6.2,8.7,7.2,https://preview.qiantucdn.com/58pic/20240325/00758PIC58PICphwb0bdbJ34w_PIC2018_PIC2018.jpg!w1024_new_small_1
30,6,蔚来,全新蔚来ES6,SUV,纯电动,402000,368000,436000,2024,18784,625.0,93.7,400.0,1046,4860,1951,1786,2837,6,5.7,202,,4.4,0,8,6.1,8.1,7.2,https://static.hao86.com/areaditu/guizhou.jpg
31,7,理想,L7,SUV,增程,349800,319800,379800,2024,19078,210.0,31.7,110.0,319,5002,1940,1755,2855,7,7.3,162,2.1,3.8,0,6,7.9,8.5,8.6,https://so1.360tres.com/t01c75c6614389c8c8a.png
32,7,理想,L8,SUV,增程,369800,339800,399800,2024,18667,210.0,44.2,110.0,321,4943,1925,1746,2810,5,7.8,167,2.1,4.1,0,7,7.4,7.4,7.0,https://pica.zhimg.com/v2-9c950799a964eeb6d4ece16595f17684_r.jpg?source=1940ef5c
33,7,理想,L9,SUV,增程,444800,429800,459800,2024,19328,210.0,40.2,110.0,319,4665,1924,1753,2870,6,7.7,179,1.6,4.7,0,12,6.7,8.8,8.1,https://cmsimg01.71360.com/data/20191112/11u2746/public/2019111213470792521.jpg
34,7,理想,MEGA,MPV,纯电动,579800,559800,599800,2024,4946,700.0,101.8,230.0,693,4964,1959,1856,3013,7,6.3,201,,4.5,0,12,8.3,8.2,6.3,https://imgs.699pic.com/images/500/599/254.jpg!list1x.v2
35,7,理想,L6,SUV,增程,299800,279800,319800,2024,37305,130.0,33.4,85.0,187,5087,1996,1730,2872,6,7.2,175,2.5,4.5,0,9,7.6,9.1,8.0,https://img4.kcimg.cn/imgc/1/1620/1620038.jpg_1200x800.jpg
36,8,小鹏,G6,SUV,纯电动,236900,209900,263900,2024,40209,580.0,80.3,218.0,688,4967,1989,1749,2826,6,5.5,193,,4.7,0,8,8.8,8.4,7.6,https://i2.dd-img.com/cms/4a7a0765f5ed6d630e0d38e65b47992c.jpg
37,8,小鹏,G9,SUV,纯电动,389900,309900,469900,2024,19036,702.0,103.3,316.0,1001,4885,1931,1715,2816,5,6.1,256,,4.1,0,10,7.5,8.9,9.1,https://img.pcauto.com.cn/images/upload/upc/tx/auto5/2306/25/c17/366846091_1687676017165.jpg
38,8,小鹏,P7i,轿车,纯电动,256900,223900,289900,2024,33941,706.0,103.3,203.0,604,4818,1870,1478,2740,5,5.9,211,,4.7,0,11,8.7,7.7,6.8,https://img3.bitautoimg.com/autoalbum/files/20230217/539/202302176373663117753903814_3000x2000_w1.jpg
39,8,小鹏,X9,MPV,纯电动,389900,359900,419900,2024,15435,702.0,97.6,230.0,652,5025,1909,1891,2973,7,6.4,190,,4.0,0,12,8.4,8.5,6.2,https://img1.xcarimg.com/b337/s14719/2000_1500_20220125100759517571691799591.jpg
40,8,小鹏,Mona M03,轿车,纯电动,154800,119800,189800,2024,33853,515.0,72.7,170.0,460,4808,1842,1484,2819,5,6.2,197,,4.8,0,11,9.1,8.0,7.7,https://img.pcauto.com.cn/images/upload/upc/tx/auto5/2411/13/c17/463268471_1731480381011.jpg
41,9,问界,M5,SUV,增程,294800,279800,309800,2024,37950,200.0,42.8,142.0,419,5082,1945,1738,2892,6,7.4,194,2.2,4.8,0,8,7.0,7.7,7.4,http://img1.bala.cc/allimg/2202/16045623Y-1.png
42,9,问界,M5 EV,SUV,纯电动,279800,259800,299800,2024,38137,620.0,92.0,165.0,564,4942,1986,1751,2885,5,6.7,194,,3.8,0,9,8.0,6.1,8.2,https://img.xjishu.com/img/zl/2022/8/30/hwazh8a29.jpg
43,9,问界,M7,SUV,增程,334800,289800,379800,2024,19444,200.0,35.7,130.0,288,4669,1959,1723,2712,6,7.4,184,1.4,4.8,0,11,8.9,7.6,8.6,http://e3f49eaa46b57.cdn.sohucs.com/2022/8/31/2/12/MTAwMTM1XzE2NjE4ODMxNDk2NjA=.jpg
44,9,问界,M8,MPV,增程,379800,339800,419800,2024,15101,200.0,31.0,140.0,414,4826,1944,1828,3066,7,7.1,161,2.4,4.0,0,9,6.5,6.4,8.3,https://pic.nximg.cn/file/20230529/29159477_210246509102_2.jpg
45,9,问界,M9,SUV,增程,534800,499800,569800,2024,6536,200.0,41.5,190.0,412,4888,1927,1759,2879,6,7.5,167,2.2,4.0,0,8,8.0,9.3,8.0,https://pic3.zhimg.com/v2-d1f733345b0d11ea4d1bde0e2511dbc8_720w.jpg?source=172ae18b
46,10,极氪,001,轿车,纯电动,319000,269000,369000,2024,16607,741.0,101.6,310.0,989,4792,1850,1495,2750,5,5.7,193,,4.6,0,7,8.4,8.8,8.8,https://7esl.com/wp-content/uploads/2021/06/Cat-Breeds.jpg
47,10,极氪,007,轿车,纯电动,264000,229000,299000,2024,31529,688.0,98.6,229.0,724,4889,1900,1452,2788,5,5.6,223,,3.8,0,6,7.7,7.5,7.3,https://imgs.qiubiaoqing.com/qiubiaoqing/imgs/6a1208acd1fd4IET.gif?imageView2/2/w/200
48,10,极氪,X,SUV,纯电动,219000,189000,249000,2024,39416,670.0,92.5,200.0,604,5056,1958,1790,2739,6,6.3,199,,4.7,0,7,7.7,7.5,8.6,https://images.ctfassets.net/i3kf1olze1gn/EC0XkzO5LxFGTQsQfcPEO/32909c2b52ed7802daef387dc8697e6f/Arun_Worawihan_Temple.jpg?fit=fill
49,10,极氪,X YOU,SUV,纯电动,264000,239000,289000,2024,37839,670.0,99.5,200.0,549,4737,1941,1731,2722,6,6.1,199,,4.5,0,11,7.7,7.1,7.7,http://www.1988.tv/Upload_Map/Pro/Small/2022/414/2022414101414295.jpg
50,10,极氪,001 FR,轿车,纯电动,789000,769000,809000,2024,5449,550.0,82.4,1247.0,3992,4781,1833,1471,2771,5,2.5,181,,4.4,0,6,6.8,7.4,7.9,http://i.weibomingzi.com/up/0/253/1023311287/2392696608.jpg
51,11,坦克,300,SUV,燃油,254800,199800,309800,2024,25060,0,,167.0,308,4723,1988,1760,2865,7,10.8,165,7.9,4.2,0,12,8.3,7.3,7.9,https://oss.17guzheng.com/wp-content/uploads/2022/04/06214401165.jpg
52,11,坦克,400,SUV,插电混动,324800,279800,369800,2024,19186,105.0,20.3,230.0,564,4776,1954,1795,2840,6,7.0,209,1.2,4.0,0,9,7.9,8.7,6.6,http://i.weibomingzi.com/up/1/253/863904181/3039000464.jpg
53,11,坦克,500,SUV,油电混动,365000,335000,395000,2024,12362,0,,180.0,398,4710,1994,1761,2770,7,10.8,198,7.8,3.9,0,7,6.8,6.6,6.0,https://i.etsystatic.com/43152122/r/il/440741/5426779794/il_fullxfull.5426779794_3oa1.jpg
54,11,坦克,700,SUV,燃油,448000,428000,468000,2024,12218,0,,265.0,500,4873,1916,1735,2711,5,10.5,196,8.9,4.6,0,6,6.0,7.0,7.7,http://singulardigital.mx/wp-content/uploads/2022/03/shen-yun-monterrey-mayo-2022-segunda.jpg
55,11,坦克,300 越野版,SUV,燃油,279800,259800,299800,2024,24225,0,,215.0,340,4774,1923,1706,2764,6,10.0,242,7.2,4.5,0,12,6.5,8.0,7.1,https://sallysees.com/wp-content/uploads/2025/09/How-to-Visit-the-Alerce-Andino-National-Park-Chile-Pinterest-Pin.jpg
56,12,零跑,C01,轿车,纯电动,179800,149800,209800,2024,34359,717.0,101.6,200.0,619,4727,1815,1485,2895,5,6.2,193,,4.2,0,8,7.0,8.1,7.5,https://c-ssl.duitang.com/uploads/item/201712/29/20171229025714_2MCTP.jpeg
57,12,零跑,C11,SUV,纯电动,189800,149800,229800,2024,38227,650.0,88.8,200.0,653,4891,1979,1707,2856,7,6.2,176,,4.5,0,9,6.6,6.3,6.0,https://c-ssl.duitang.com/uploads/blog/202206/05/20220605205225_32ab0.jpg
58,12,零跑,T03,轿车,纯电动,79800,69800,89800,2024,69704,403.0,55.5,95.0,259,4830,1888,1488,2820,5,6.8,189,,3.9,0,7,6.9,8.8,8.1,"https://bkimg.cdn.bcebos.com/smart/00e93901213fb80edfa799563bd12f2eb9389439-bkimg-process,v_1,rw_640,rh_400,maxl_454?x-bce-process=image/format,f_auto"
59,12,零跑,S01,跑车,纯电动,129800,109800,149800,2024,14860,510.0,74.3,170.0,579,4501,1954,1314,2739,2,6.6,164,,3.9,0,10,8.1,8.9,9.2,https://c-ssl.duitang.com/uploads/item/201707/22/20170722000543_distG.jpeg
60,12,零跑,C10,SUV,纯电动,148800,128800,168800,2024,60256,520.0,76.3,160.0,551,4824,1915,1759,2876,6,6.3,191,,4.3,0,11,9.1,8.6,8.1,https://font.hanyuguoxue.com/kai400/246/96f6.png
61,13,哪吒,S,轿车,纯电动,79800,59800,99800,2024,70903,318.0,48.8,70.0,215,4613,1811,1464,2872,5,7.1,177,,4.4,0,6,6.6,7.8,7.5,http://k.sinaimg.cn/n/sinakd20116/656/w1022h1234/20250206/84b5-f7042d86422498e3fe259ebe7b546609.jpg/w700d1q75cms.jpg
62,13,哪吒,U,SUV,纯电动,104800,79800,129800,2024,58173,401.0,60.4,120.0,416,4742,1923,1774,2811,7,6.4,186,,4.2,0,8,9.0,7.2,8.4,https://p1.ssl.qhimg.com/t01181d4cdbdcb6d301.jpg
63,13,哪吒,GT,轿车,纯电动,179800,159800,199800,2024,33534,580.0,83.4,170.0,502,4747,1884,1475,2894,5,6.1,180,,3.9,0,10,9.0,8.9,6.0,https://img.3dmgame.com/uploads/images/news/20250127/1737962826_226591_jpg_r.jpg
64,13,哪吒,AYA,轿车,纯电动,74800,59800,89800,2024,69003,318.0,42.3,70.0,200,4877,1859,1476,2713,5,6.9,200,,4.3,0,6,6.9,6.5,7.0,https://nowre.com/wp-content/uploads/2019/12/photo2F00032F2019-07-252FEKUAGU493LF60003NOS.jpg
65,13,哪吒,X,SUV,纯电动,154800,139800,169800,2024,39176,501.0,76.3,160.0,497,5050,1989,1762,2731,5,6.0,170,,4.1,0,9,7.4,6.8,8.9,http://puui.qpic.cn/vpic_cover/w0957i0u71l/w0957i0u71l_hz.jpg/1280
66,14,小米,SU7,轿车,纯电动,257900,215900,299900,2024,34301,700.0,103.3,220.0,660,4658,1859,1457,2865,5,6.2,245,,4.6,0,11,7.7,7.7,7.6,https://laogewenof8f2.com/remote/wp-content/uploads/2019/09/27114117878.jpg
67,14,小米,SU7 Max,轿车,纯电动,334900,299900,369900,2024,16520,700.0,100.1,425.0,1436,4674,1849,1462,2853,5,5.5,215,,4.6,0,8,7.2,8.8,6.9,https://pic.nximg.cn/file/20221010/5126389_111938845107_2.jpg
68,14,小米,SU7 Ultra,轿车,纯电动,564900,529900,599900,2024,5820,700.0,103.4,674.0,2076,4601,1836,1496,2776,5,4.2,199,,4.3,0,11,7.2,8.7,7.3,http://i.weibomingzi.com/up/1/253/3262481061/863316817.jpg
69,14,小米,YU7,SUV,纯电动,289900,249900,329900,2024,38850,830.0,119.3,320.0,875,5077,1941,1724,2878,5,5.9,185,,4.1,0,12,9.2,7.3,9.5,https://pic1.zhimg.com/v2-3630b2012394f3ebb472ab3c2c5ba036_1440w.jpg?consumer=ZHI_MENG
70,14,小米,YU7 Pro,SUV,纯电动,364900,329900,399900,2024,19301,830.0,114.8,320.0,1109,5005,1983,1719,2826,5,5.4,192,,4.8,0,10,7.8,7.6,8.5,http://www.gaoyadianjigun.com.cn/uploadfile/images/20231117181929782.jpg
71,15,仰望,U8,SUV,插电混动,1398000,1098000,1698000,2024,2531,180.0,26.7,480.0,1087,4809,1983,1719,2719,6,6.5,230,2.0,4.7,0,11,9.0,7.3,7.1,https://n.sinaimg.cn/sinakd20115/88/w1080h608/20250222/6a76-013f66d6ba939f230cb86c227fc6da7b.jpg
72,15,仰望,U9,跑车,纯电动,1830000,1680000,1980000,2024,704,465.0,67.6,960.0,2625,4767,1997,1362,2738,2,2.9,216,,4.9,0,10,7.5,6.3,8.2,https://media.routard.com/image/83/4/photo.1565834.jpg
73,15,仰望,U7,轿车,插电混动,1380000,1180000,1580000,2024,2130,180.0,19.5,540.0,1096,4651,1856,1460,2877,5,6.0,187,1.4,4.2,0,11,7.9,8.0,8.8,https://static.playhop.com/opengraph/c39211777549b97bf9ab4d5fd1775e227f45b6fc2fa8a1cedd4a02ff6d3b8a90.png?v=1773273600000
74,15,仰望,U5,SUV,纯电动,748000,598000,898000,2024,6073,600.0,86.9,400.0,1096,4687,1922,1710,2856,6,5.6,198,,4.1,0,10,7.6,8.3,9.1,http://img.52desk.com/tp/436c4dc5b77769639223480535c7b33a.jpg
75,15,仰望,U6,轿车,插电混动,648000,498000,798000,2024,5365,160.0,17.4,400.0,977,4838,1836,1493,2839,5,6.5,255,1.4,4.9,0,9,7.6,7.1,9.5,http://www.dianjiqishop.com/uploadfile/2022/1102/20221102081723544.jpg
76,16,丰田,凯美瑞,轿车,燃油,208300,179800,236800,2024,21406,0,,152.0,289,4847,1813,1465,2797,5,10.7,178,5.1,4.7,0,7,6.0,9.0,8.7,http://n.sinaimg.cn/sinacn10110/600/w1920h1080/20190808/ab02-iaxiufn7674803.jpg
77,16,丰田,卡罗拉,轿车,油电混动,137300,116800,157800,2024,31537,0,,97.0,231,4625,1877,1497,2827,5,11.1,174,6.8,4.2,0,7,8.2,8.4,8.5,http://n.sinaimg.cn/sinakd10010/300/w1620h1080/20210318/9508-kmkptxe5442481.jpg
78,16,丰田,荣放RAV4,SUV,油电混动,227800,195800,259800,2024,24193,0,,132.0,321,4937,1987,1717,2860,5,10.8,179,9.4,3.8,0,6,6.5,9.2,7.1,https://pic4.zhimg.com/v2-ff2bfd7c000def916d424aa1833d6e8b_r.jpg
79,16,丰田,汉兰达,SUV,油电混动,300300,248800,351800,2024,12470,0,,134.0,323,4812,1922,1725,2733,7,10.5,192,9.7,4.7,0,10,8.9,7.7,8.8,http://n.sinaimg.cn/sinakd20210217ac/472/w1200h872/20210217/b7b7-kkciesr0354403.jpg
80,16,丰田,亚洲龙,轿车,油电混动,239800,189800,289800,2024,21982,0,,131.0,324,4982,1843,1457,2819,5,10.3,174,7.6,4.6,0,8,9.4,8.8,7.3,http://5b0988e595225.cdn.sohucs.com/images/20191219/5f1b560aca0341d282df73c9f56da787.jpeg
81,17,本田,雅阁,轿车,油电混动,209800,179800,239800,2024,21170,0,,143.0,270,4802,1801,1466,2837,5,10.5,176,6.8,4.7,0,9,6.4,6.8,6.1,https://a.zdmimg.com/202511/19/691d37aa75306970.png_fo742.jpg
82,17,本田,思域,轿车,燃油,154900,129900,179900,2024,21597,0,,134.0,262,4887,1841,1489,2756,5,10.8,189,7.7,4.1,0,6,6.5,9.3,7.1,https://cdn.britannica.com/36/234736-050-4AC5B6D5/Scottish-fold-cat.jpg
83,17,本田,CR-V,SUV,油电混动,217800,185800,249800,2024,23738,0,,135.0,256,4852,1914,1712,2760,7,10.6,194,8.3,4.6,0,10,7.5,6.3,7.7,http://n.sinaimg.cn/sinakd20120/131/w690h1041/20230113/113c-be285579f52022c11c210f7933c1eecf.jpg
84,17,本田,皓影,SUV,油电混动,217400,184900,249900,2024,24448,0,,135.0,264,4808,1935,1704,2876,6,10.6,175,9.6,3.9,0,8,7.9,9.4,7.3,http://i.weibomingzi.com/up/2/253/3440842528/2935107129.jpg
85,17,本田,奥德赛,MPV,油电混动,309800,239800,379800,2024,9321,0,,135.0,333,5003,1935,1824,2931,7,10.9,165,10.0,4.5,0,9,6.1,8.8,6.9,https://pic3.zhimg.com/v2-7b8ede48d36d82775150b3d356e0bb9c_1200x500.jpg
86,18,日产,轩逸,轿车,燃油,144000,119000,169000,2024,32516,0,,117.0,181,4664,1900,1486,2752,5,10.9,173,6.8,4.7,0,10,8.7,8.8,8.1,http://img4.cache.netease.com/photo/0008/2016-07-13/BRS0RK3B29MI0008.JPG
87,18,日产,天籁,轿车,油电混动,214800,179800,249800,2024,21873,0,,137.0,271,4741,1818,1458,2838,5,10.3,161,5.4,4.2,0,7,8.1,6.1,6.9,http://p0.ifengimg.com/pmop/2018/0426/52EDA247B1EE8B57577319A14FB237A10FD7A419_size30_w680_h477.jpeg
88,18,日产,奇骏,SUV,油电混动,239900,199900,279900,2024,24395,0,,150.0,348,4664,1994,1753,2834,5,10.6,183,8.5,3.9,0,10,9.3,6.2,8.7,https://x0.ifengimg.com/ucms/2022_02/95F69114D787E2AD8DC4C55C63F91B961777B310_size192_w1365_h834.jpg
89,18,日产,途达,SUV,燃油,224800,189800,259800,2024,24433,0,,142.0,277,5043,1984,1766,2777,6,10.1,190,9.5,4.3,0,7,8.5,7.6,9.1,http://n.sinaimg.cn/sinakd10021/600/w1920h1080/20231118/57b1-8d3a50c7f4eb13221d39122d1e812d67.jpg
90,18,日产,ARIYA,SUV,纯电动,307800,272800,342800,2024,18568,623.0,86.8,178.0,558,4764,1977,1718,2716,5,6.3,180,,4.2,0,6,7.0,7.8,7.5,http://p0.ifengimg.com/pmop/2018/0426/8B969CEDE8CE3D58ED9B2CA0354D95451AB07975_size52_w1080_h721.jpeg
91,19,马自达,昂克赛拉,轿车,燃油,138900,115900,161900,2024,32722,0,,116.0,245,4959,1814,1491,2866,5,10.7,173,6.3,4.8,0,9,8.9,7.4,8.6,http://www2.autoimg.cn/chejiahaodfs/g29/M0A/88/6F/autohomecar__ChsEfl_thjWAXBaVAAeM4Sr7zLk88.jpeg
92,19,马自达,阿特兹,轿车,燃油,209800,179800,239800,2024,21722,0,,142.0,238,4760,1854,1470,2870,5,11.1,190,5.2,4.7,0,8,6.3,8.6,8.8,http://img.pcauto.com.cn/images/upload/upc/tx/auto5/2408/09/c3/438072772_1723195382567.png
93,19,马自达,CX-5,SUV,燃油,202800,175800,229800,2024,25707,0,,143.0,247,4884,1907,1775,2843,7,10.2,182,9.6,4.8,0,6,9.2,6.2,7.0,http://img1.mydrivers.com/img/20190903/c2f1e30d25184c22ae2484b816c5f233.jpg
94,19,马自达,CX-30,SUV,燃油,166400,142900,189900,2024,24176,0,,116.0,191,4759,1945,1713,2847,7,10.8,174,9.5,4.2,0,7,6.4,7.0,6.8,https://img4.bitautoimg.com/autoalbum/files/20200807/431/20200807200222222145156_3000x2000_w1.jpg
95,19,马自达,CX-8,SUV,燃油,288800,258800,318800,2024,23205,0,,142.0,280,4819,1971,1798,2859,7,10.7,198,9.8,4.7,0,6,6.6,8.5,7.1,https://q8.itc.cn/images01/20250129/9a23910455354bcca83e608f0cefd04e.jpeg
96,20,雷克萨斯,ES300h,轿车,油电混动,419900,379900,459900,2024,10389,0,,131.0,316,4773,1844,1450,2746,5,10.7,185,5.2,4.6,0,9,6.3,7.9,7.3,http://img.12365auto.com/g/temp/201908/08/201908081050025465.jpg
97,20,雷克萨斯,IS300,轿车,燃油,428000,398000,458000,2024,10378,0,,180.0,309,4832,1843,1460,2794,5,10.3,196,6.8,4.8,0,6,8.6,6.2,6.3,https://image.bitautoimg.com/appimage-1920-w0/mapi/media/2020/08/07/91c79f17e4ab472bbb0752c934030c63.jpg
