log_id,user_id,action,module,description,ip,created_at
171,9,view_dashboard,dashboard,查看仪表盘,192.168.236.43,2025-08-12 03:00:00
172,2,view_dashboard,dashboard,查看仪表盘,192.168.187.141,2026-01-15 02:00:00
173,9,compare,car,车型对比,192.168.82.41,2025-09-16 11:00:00
174,5,view_car,car,查看车型详情,192.168.111.228,2026-02-14 14:00:00
175,5,compare,car,车型对比,192.168.217.175,2026-04-30 21:00:00
176,8,login,auth,用户登录,192.168.29.128,2025-09-08 20:00:00
177,3,login,auth,用户登录,192.168.178.136,2025-12-28 10:00:00
178,3,search,search,搜索车型,192.168.232.114,2026-01-23 14:00:00
179,3,export,data,导出数据,192.168.111.103,2026-05-16 10:00:00
180,7,search,search,搜索车型,192.168.50.120,2025-06-02 03:00:00
181,5,login,auth,用户登录,192.168.166.212,2025-06-24 20:00:00
182,6,view_car,car,查看车型详情,192.168.209.113,2026-03-02 02:00:00
183,1,view_dashboard,dashboard,查看仪表盘,192.168.84.167,2026-02-21 21:00:00
184,1,login,auth,用户登录,192.168.7.236,2025-08-17 15:00:00
185,3,view_car,car,查看车型详情,192.168.17.80,2025-09-04 10:00:00
186,8,search,search,搜索车型,192.168.31.109,2025-06-14 19:00:00
187,5,search,search,搜索车型,192.168.248.147,2026-05-21 03:00:00
188,4,view_prediction,ml,查看销量预测,192.168.136.207,2026-04-18 22:00:00
189,2,view_review,review,查看评价,192.168.255.43,2025-06-18 06:00:00
190,2,search,search,搜索车型,192.168.97.160,2025-11-25 11:00:00
191,3,order_create,order,创建订单,192.168.199.101,2025-08-30 23:00:00
192,1,export,data,导出数据,192.168.166.48,2026-03-22 23:00:00
193,8,search,search,搜索车型,192.168.89.33,2025-12-09 19:00:00
194,6,search,search,搜索车型,192.168.233.61,2025-08-15 05:00:00
195,3,view_review,review,查看评价,192.168.59.180,2026-04-12 06:00:00
196,9,export,data,导出数据,192.168.156.45,2025-06-01 09:00:00
197,6,view_review,review,查看评价,192.168.177.178,2025-09-22 11:00:00
198,4,view_car,car,查看车型详情,192.168.59.109,2026-01-05 02:00:00
199,9,view_dashboard,dashboard,查看仪表盘,192.168.249.9,2026-01-27 12:00:00
200,2,login,auth,用户登录,192.168.142.250,2026-01-22 01:00:00
