car_id,brand_name,car_name,image
31,理想,L7,http://k.sinaimg.cn/n/front/266/w640h426/20181223/wSgc-hqqzpku8082546.jpg/w700d1q75cms.jpg
32,理想,L8,http://n.sinaimg.cn/sinakd20210416ac/47/w1566h881/20210416/594f-knvsnuf5879361.jpg
33,理想,L9,http://i.weibomingzi.com/up/2/253/4248443676/2771929883.jpg
34,理想,MEGA,https://img4.pcauto.com.cn/pcauto/images/auto_hj/20250730/31166182.jpg
35,理想,L6,https://image.jianke.com/upload/prodimage/201603wm/201635103856708.jpg
36,小鹏,G6,https://img.pcauto.com.cn/images/upload/upc/tx/auto5/2303/06/c35/352992871_1678077032071_1024.jpg
37,小鹏,G9,https://image.bitautoimg.com/appimage-1440-w1/mapi/media/2020/11/25/bf420ce2f7c04c63b4888350de7eb746.jpg
38,小鹏,P7i,https://img.pcauto.com.cn/images/upload/upc/tx/auto5/2407/12/c11/433132397_1720780528095.jpg
39,小鹏,X9,http://auto4.sinaimg.cn/autoimg/car/58/71/132077158_950.jpg
40,小鹏,Mona M03,https://img.pcauto.com.cn/images/upload/upc/tx/auto5/2411/25/c3/466417931_1732506006445.jpg
41,问界,M5,http://k.sinaimg.cn/n/sinakd20260409s/337/w512h625/20260409/b923-f4ccb3233490f28f4baaf08f862a1805.jpg/w700d1q75cms.jpg
42,问界,M5 EV,https://pic1.zhimg.com/v2-3ce49aa01f7e83ebab1278904f1eb544_r.jpg?source=1940ef5c
43,问界,M7,https://pic1.zhimg.com/v2-09c106fc206bbf35e28d26b29800a2f4_r.jpg
44,问界,M8,https://n.sinaimg.cn/sinakd20100/86/w1088h1398/20201110/af49-kcunqzc2591000.jpg
45,问界,M9,http://n.sinaimg.cn/sinacn/w614h443/20180105/2686-fyqincu3445469.jpg
46,极氪,001,https://media.ixbt.site/1600x900/smart/ixbt-data/1107309/01KBJP8PDDNMKHXMB748V59ADA.png
47,极氪,007,http://n.sinaimg.cn/sinakd20200802s/223/w1280h543/20200802/18c6-ixeeirz5044963.jpg
48,极氪,X,https://k.sinaimg.cn/n/finance/transform/136/w550h386/20220926/dc13-5eb50b6fcaa0dc37543aa50ec719be36.png/w700h350z1l10t10abf.jpg
49,极氪,X YOU,https://pic2.zhimg.com/v2-b2925e4a902916b2b3975f59f8326f25_r.jpg
50,极氪,001 FR,http://druidova.mysteria.cz/JAK_JDE_ZIVOT/Pictures/DALAJLAMA_2.jpg
51,坦克,300,https://static-data.eol.cn/upload/school/202002/1606879523_1117_thumb.jpg
52,坦克,400,https://n.sinaimg.cn/sinakd20116/525/w1280h845/20260210/d8d7-a27dcb0d55a78ec953b2a68d56e38035.jpg
53,坦克,500,https://picb.zhimg.com/v2-538423df71bef300df8281873e56033c_r.jpg
54,坦克,700,http://n.sinaimg.cn/sinacn10117/299/w2048h1451/20191115/2e3d-iikmuti1680944.jpg
55,坦克,300 越野版,https://oladino.com/wp-content/uploads/2024/10/Funny-Cat-Memes-6.png
56,零跑,C01,http://k.sinaimg.cn/n/sinakd20240515ac/503/w690h613/20240515/f997-0c90c7743bb79ea9f6f74c8910fd7021.jpg/w700d1q75cms.jpg
57,零跑,C11,https://pic2.zhimg.com/v2-175f74908e73dc43da714859835531b8_r.jpg?source=1940ef5c
58,零跑,T03,https://c-ssl.duitang.com/uploads/item/201712/29/20171229025714_2MCTP.jpeg
59,零跑,S01,https://c-ssl.duitang.com/uploads/blog/202206/05/20220605205225_32ab0.jpg
60,零跑,C10,https://k.sinaimg.cn/n/sinakd20231112s/207/w1080h1527/20231112/160b-68f282eb1c46917866fd035f0911caf8.jpg/w700d1q75cms.jpg?by=cms_fixed_width
