brand_id,month,sales,growth_rate,market_share
11,2025-11,5173,-22.0,2.68
11,2025-12,5705,10.3,2.77
11,2026-01,3708,-35.0,2.69
11,2026-02,3002,-19.0,2.58
11,2026-03,6668,122.1,2.8
11,2026-04,6057,-9.2,2.93
11,2026-05,5012,-17.3,2.51
11,2026-06,5140,2.6,2.71
12,2025-01,7989,0.0,6.21
12,2025-02,7388,-7.5,6.59
12,2025-03,12504,69.2,5.52
12,2025-04,11941,-4.5,6.2
12,2025-05,12086,1.2,6.43
12,2025-06,11693,-3.3,6.46
12,2025-07,12008,2.7,6.34
12,2025-08,13042,8.6,6.61
12,2025-09,16766,28.6,6.87
12,2025-10,13950,-16.8,6.19
12,2025-11,12747,-8.6,6.6
12,2025-12,12515,-1.8,6.07
12,2026-01,8941,-28.6,6.49
12,2026-02,7313,-18.2,6.28
12,2026-03,16610,127.1,6.97
12,2026-04,13365,-19.5,6.47
12,2026-05,13537,1.3,6.79
12,2026-06,13011,-3.9,6.86
13,2025-01,10907,0.0,8.47
13,2025-02,8500,-22.1,7.58
13,2025-03,18414,116.6,8.13
13,2025-04,16282,-11.6,8.45
13,2025-05,15936,-2.1,8.47
13,2025-06,12190,-23.5,6.74
13,2025-07,15792,29.5,8.34
13,2025-08,15907,0.7,8.06
13,2025-09,18287,15.0,7.49
13,2025-10,16068,-12.1,7.13
13,2025-11,14272,-11.2,7.39
13,2025-12,15314,7.3,7.43
13,2026-01,11954,-21.9,8.68
13,2026-02,10908,-8.8,9.36
13,2026-03,20347,86.5,8.54
13,2026-04,16988,-16.5,8.23
13,2026-05,16410,-3.4,8.23
13,2026-06,16313,-0.6,8.61
14,2025-01,4402,0.0,3.42
14,2025-02,3328,-24.4,2.97
14,2025-03,7810,134.7,3.45
14,2025-04,6299,-19.3,3.27
14,2025-05,6313,0.2,3.36
14,2025-06,6359,0.7,3.51
14,2025-07,6697,5.3,3.54
14,2025-08,6675,-0.3,3.38
14,2025-09,8466,26.8,3.47
14,2025-10,7244,-14.4,3.22
14,2025-11,6946,-4.1,3.6
14,2025-12,6669,-4.0,3.24
14,2026-01,5136,-23.0,3.73
14,2026-02,4406,-14.2,3.78
14,2026-03,7996,81.5,3.36
14,2026-04,6880,-14.0,3.33
14,2026-05,6800,-1.2,3.41
14,2026-06,6366,-6.4,3.36
15,2025-01,591,0.0,0.46
15,2025-02,595,0.7,0.53
15,2025-03,1155,94.1,0.51
15,2025-04,959,-17.0,0.5
15,2025-05,920,-4.1,0.49
15,2025-06,916,-0.4,0.51
15,2025-07,891,-2.7,0.47
15,2025-08,984,10.4,0.5
15,2025-09,1326,34.8,0.54
15,2025-10,1176,-11.3,0.52
15,2025-11,987,-16.1,0.51
15,2025-12,990,0.3,0.48
15,2026-01,576,-41.8,0.42
15,2026-02,648,12.5,0.56
15,2026-03,1044,61.1,0.44
15,2026-04,1181,13.1,0.57
15,2026-05,961,-18.6,0.48
15,2026-06,903,-6.0,0.48
16,2025-01,4566,0.0,3.55
16,2025-02,3916,-14.2,3.49
16,2025-03,7484,91.1,3.31
16,2025-04,6019,-19.6,3.12
16,2025-05,6464,7.4,3.44
16,2025-06,5933,-8.2,3.28
16,2025-07,6354,7.1,3.36
16,2025-08,6515,2.5,3.3
16,2025-09,8246,26.6,3.38
16,2025-10,7657,-7.1,3.4
16,2025-11,6474,-15.4,3.35
16,2025-12,6723,3.8,3.26
16,2026-01,4304,-36.0,3.12
16,2026-02,3889,-9.6,3.34
16,2026-03,8221,111.4,3.45
16,2026-04,6299,-23.4,3.05
16,2026-05,6683,6.1,3.35
16,2026-06,5841,-12.6,3.08
17,2025-01,3887,0.0,3.02
17,2025-02,3250,-16.4,2.9
17,2025-03,7196,121.4,3.18
17,2025-04,5596,-22.2,2.9
17,2025-05,5098,-8.9,2.71
17,2025-06,5337,4.7,2.95
17,2025-07,5653,5.9,2.98
17,2025-08,6001,6.2,3.04
17,2025-09,7840,30.6,3.21
17,2025-10,7005,-10.7,3.11
17,2025-11,5494,-21.6,2.85
17,2025-12,6231,13.4,3.02
17,2026-01,4308,-30.9,3.13
17,2026-02,3562,-17.3,3.06
17,2026-03,6659,86.9,2.8
17,2026-04,5840,-12.3,2.83
17,2026-05,5694,-2.5,2.85
17,2026-06,5623,-1.2,2.97
18,2025-01,5138,0.0,3.99
18,2025-02,4283,-16.6,3.82
18,2025-03,8323,94.3,3.68
18,2025-04,6981,-16.1,3.62
18,2025-05,6708,-3.9,3.57
18,2025-06,6773,1.0,3.74
18,2025-07,6700,-1.1,3.54
18,2025-08,6871,2.6,3.48
18,2025-09,8822,28.4,3.61
18,2025-10,8126,-7.9,3.61
18,2025-11,7256,-10.7,3.76
18,2025-12,7513,3.5,3.64
18,2026-01,4603,-38.7,3.34
18,2026-02,4132,-10.2,3.55
18,2026-03,8665,109.7,3.64
18,2026-04,6933,-20.0,3.36
18,2026-05,6628,-4.4,3.32
18,2026-06,7330,10.6,3.87
19,2025-01,5200,0.0,4.04
19,2025-02,4403,-15.3,3.92
19,2025-03,8246,87.3,3.64
19,2025-04,7406,-10.2,3.84
19,2025-05,7566,2.2,4.02
19,2025-06,6695,-11.5,3.7
19,2025-07,7734,15.5,4.08
19,2025-08,7710,-0.3,3.91
19,2025-09,9088,17.9,3.72
19,2025-10,8665,-4.7,3.85
19,2025-11,7563,-12.7,3.92
19,2025-12,8592,13.6,4.17
19,2026-01,4713,-45.1,3.42
19,2026-02,4093,-13.2,3.51
19,2026-03,8741,113.6,3.67
19,2026-04,7216,-17.4,3.49
19,2026-05,7049,-2.3,3.53
19,2026-06,6852,-2.8,3.61
20,2025-01,2088,0.0,1.62
20,2025-02,1839,-11.9,1.64
20,2025-03,3722,102.4,1.64
20,2025-04,3210,-13.8,1.67
20,2025-05,3100,-3.4,1.65
20,2025-06,3082,-0.6,1.7
20,2025-07,3076,-0.2,1.62
20,2025-08,3568,16.0,1.81
20,2025-09,3773,5.7,1.55
20,2025-10,3937,4.3,1.75
20,2025-11,3189,-19.0,1.65
20,2025-12,3211,0.7,1.56
20,2026-01,2246,-30.1,1.63
20,2026-02,1906,-15.1,1.64
20,2026-03,3727,95.5,1.56
20,2026-04,3243,-13.0,1.57
20,2026-05,3312,2.1,1.66
20,2026-06,3068,-7.4,1.62
21,2025-01,4968,0.0,3.86
21,2025-02,3979,-19.9,3.55
21,2025-03,9822,146.8,4.34
21,2025-04,7055,-28.2,3.66
21,2025-05,7183,1.8,3.82
21,2025-06,7216,0.5,3.99
21,2025-07,7170,-0.6,3.79
21,2025-08,7258,1.2,3.68
21,2025-09,8922,22.9,3.66
21,2025-10,8132,-8.9,3.61
21,2025-11,7073,-13.0,3.66
21,2025-12,8092,14.4,3.93
21,2026-01,5034,-37.8,3.65
21,2026-02,4213,-16.3,3.62
21,2026-03,8996,113.5,3.78
21,2026-04,7468,-17.0,3.62
21,2026-05,7888,5.6,3.95
21,2026-06,7831,-0.7,4.13
22,2025-01,1333,0.0,1.04
22,2025-02,1111,-16.7,0.99
22,2025-03,2446,120.2,1.08
22,2025-04,1926,-21.3,1.0
22,2025-05,1701,-11.7,0.9
22,2025-06,1738,2.2,0.96
22,2025-07,1964,13.0,1.04
22,2025-08,2002,1.9,1.01
22,2025-09,2394,19.6,0.98
22,2025-10,2345,-2.0,1.04
22,2025-11,2181,-7.0,1.13
22,2025-12,2235,2.5,1.08
22,2026-01,1409,-37.0,1.02
22,2026-02,1245,-11.6,1.07
22,2026-03,2006,61.1,0.84
22,2026-04,2049,2.1,0.99
22,2026-05,1888,-7.9,0.95
22,2026-06,1691,-10.4,0.89
23,2025-01,1801,0.0,1.4
23,2025-02,1193,-33.8,1.06
23,2025-03,2322,94.6,1.03
23,2025-04,2175,-6.3,1.13
23,2025-05,2140,-1.6,1.14
23,2025-06,1948,-9.0,1.08
23,2025-07,2223,14.1,1.17
23,2025-08,2412,8.5,1.22
23,2025-09,2735,13.4,1.12
23,2025-10,2577,-5.8,1.14
23,2025-11,2498,-3.1,1.29
23,2025-12,2438,-2.4,1.18
23,2026-01,1607,-34.1,1.17
23,2026-02,1419,-11.7,1.22
23,2026-03,2791,96.7,1.17
23,2026-04,2389,-14.4,1.16
23,2026-05,2055,-14.0,1.03
23,2026-06,2126,3.5,1.12
24,2025-01,1186,0.0,0.92
24,2025-02,1153,-2.8,1.03
24,2025-03,2228,93.2,0.98
24,2025-04,1889,-15.2,0.98
24,2025-05,1858,-1.6,0.99
24,2025-06,1738,-6.5,0.96
24,2025-07,1916,10.2,1.01
24,2025-08,2062,7.6,1.04
24,2025-09,2395,16.1,0.98
24,2025-10,2252,-6.0,1.0
24,2025-11,1701,-24.5,0.88
24,2025-12,2143,26.0,1.04
24,2026-01,1301,-39.3,0.94
24,2026-02,1196,-8.1,1.03
24,2026-03,2165,81.0,0.91
24,2026-04,1707,-21.2,0.83
24,2026-05,1814,6.3,0.91
24,2026-06,1660,-8.5,0.88
25,2025-01,322,0.0,0.25
25,2025-02,249,-22.7,0.22
25,2025-03,524,110.4,0.23
25,2025-04,505,-3.6,0.26
25,2025-05,443,-12.3,0.24
25,2025-06,402,-9.3,0.22
25,2025-07,450,11.9,0.24
25,2025-08,443,-1.6,0.22
25,2025-09,617,39.3,0.25
25,2025-10,534,-13.5,0.24
25,2025-11,516,-3.4,0.27
25,2025-12,538,4.3,0.26
25,2026-01,326,-39.4,0.24
25,2026-02,291,-10.7,0.25
25,2026-03,549,88.7,0.23
25,2026-04,472,-14.0,0.23
25,2026-05,447,-5.3,0.22
25,2026-06,434,-2.9,0.23
26,2025-01,2260,0.0,1.76
26,2025-02,1848,-18.2,1.65
26,2025-03,4182,126.3,1.85
26,2025-04,3617,-13.5,1.88
26,2025-05,3144,-13.1,1.67
26,2025-06,3377,7.4,1.87
26,2025-07,3278,-2.9,1.73
26,2025-08,3399,3.7,1.72
26,2025-09,4453,31.0,1.82
26,2025-10,4090,-8.2,1.82
26,2025-11,3621,-11.5,1.88
26,2025-12,3889,7.4,1.89
26,2026-01,2584,-33.6,1.88
26,2026-02,1889,-26.9,1.62
26,2026-03,4231,124.0,1.78
26,2026-04,3895,-7.9,1.89
26,2026-05,3369,-13.5,1.69
26,2026-06,3261,-3.2,1.72
27,2025-01,3504,0.0,2.72
27,2025-02,3391,-3.2,3.02
27,2025-03,6873,102.7,3.04
27,2025-04,4821,-29.9,2.5
27,2025-05,5442,12.9,2.89
27,2025-06,4946,-9.1,2.73
27,2025-07,5158,4.3,2.72
27,2025-08,5233,1.5,2.65
27,2025-09,7639,46.0,3.13
27,2025-10,6015,-21.3,2.67
27,2025-11,5351,-11.0,2.77
27,2025-12,5328,-0.4,2.58
27,2026-01,3750,-29.6,2.72
27,2026-02,2808,-25.1,2.41
27,2026-03,6392,127.6,2.68
27,2026-04,5928,-7.3,2.87
27,2026-05,5081,-14.3,2.55
27,2026-06,4843,-4.7,2.55
28,2025-01,3814,0.0,2.96
28,2025-02,3596,-5.7,3.21
28,2025-03,6704,86.4,2.96
28,2025-04,6088,-9.2,3.16
28,2025-05,5705,-6.3,3.03
28,2025-06,5917,3.7,3.27
28,2025-07,6092,3.0,3.22
28,2025-08,6119,0.4,3.1
28,2025-09,7086,15.8,2.9
28,2025-10,7367,4.0,3.27
28,2025-11,6318,-14.2,3.27
28,2025-12,6413,1.5,3.11
28,2026-01,3637,-43.3,2.64
28,2026-02,3376,-7.2,2.9
28,2026-03,6623,96.2,2.78
28,2026-04,6245,-5.7,3.02
28,2026-05,5842,-6.5,2.93
28,2026-06,5675,-2.9,2.99
29,2025-01,5306,0.0,4.12
29,2025-02,4767,-10.2,4.25
29,2025-03,8734,83.2,3.86
29,2025-04,7358,-15.8,3.82
29,2025-05,6685,-9.1,3.55
29,2025-06,7483,11.9,4.13
29,2025-07,7128,-4.7,3.76
29,2025-08,8076,13.3,4.09
29,2025-09,10137,25.5,4.15
29,2025-10,9519,-6.1,4.23
29,2025-11,7640,-19.7,3.96
29,2025-12,7668,0.4,3.72
29,2026-01,5085,-33.7,3.69
29,2026-02,4527,-11.0,3.88
29,2026-03,9773,115.9,4.1
29,2026-04,7983,-18.3,3.87
29,2026-05,7901,-1.0,3.96
29,2026-06,7393,-6.4,3.9
30,2025-01,4383,0.0,3.4
30,2025-02,4103,-6.4,3.66
30,2025-03,8183,99.4,3.61
30,2025-04,6153,-24.8,3.19
30,2025-05,6430,4.5,3.42
30,2025-06,6415,-0.2,3.54
30,2025-07,6434,0.3,3.4
30,2025-08,7225,12.3,3.66
30,2025-09,8789,21.6,3.6
30,2025-10,6927,-21.2,3.07
30,2025-11,6260,-9.6,3.24
30,2025-12,7151,14.2,3.47
30,2026-01,4524,-36.7,3.28
30,2026-02,4305,-4.8,3.69
30,2026-03,7833,82.0,3.29
30,2026-04,7056,-9.9,3.42
30,2026-05,6320,-10.4,3.17
30,2026-06,6143,-2.8,3.24
