id,car_id,month,sales,growth_rate
81,5,2025-09,2528,28.8
82,5,2025-10,2323,-8.1
83,5,2025-11,1773,-23.7
84,5,2025-12,2094,18.1
85,5,2026-01,1495,-28.6
86,5,2026-02,1409,-5.8
87,5,2026-03,2488,76.6
88,5,2026-04,1784,-28.3
89,5,2026-05,2011,12.7
90,5,2026-06,1767,-12.1
91,6,2025-01,1459,0.0
92,6,2025-02,862,-40.9
93,6,2025-03,2305,167.4
94,6,2025-04,1648,-28.5
95,6,2025-05,2074,25.8
96,6,2025-06,1868,-9.9
97,6,2025-07,1847,-1.1
98,6,2025-08,2004,8.5
99,6,2025-09,2245,12.0
100,6,2025-10,2335,4.0
101,6,2025-11,1878,-19.6
102,6,2025-12,2153,14.6
103,6,2026-01,1268,-41.1
104,6,2026-02,758,-40.2
105,6,2026-03,2026,167.3
106,6,2026-04,2234,10.3
107,6,2026-05,2113,-5.4
108,6,2026-06,1731,-18.1
109,7,2025-01,1427,0.0
110,7,2025-02,1192,-16.5
111,7,2025-03,2671,124.1
112,7,2025-04,2324,-13.0
113,7,2025-05,1826,-21.4
114,7,2025-06,2122,16.2
115,7,2025-07,2376,12.0
116,7,2025-08,1924,-19.0
117,7,2025-09,2630,36.7
118,7,2025-10,2622,-0.3
119,7,2025-11,2362,-9.9
120,7,2025-12,2162,-8.5
121,7,2026-01,1357,-37.2
122,7,2026-02,1172,-13.6
123,7,2026-03,2598,121.7
124,7,2026-04,2285,-12.0
125,7,2026-05,2065,-9.6
126,7,2026-06,1644,-20.4
127,8,2025-01,1098,0.0
128,8,2025-02,1168,6.4
129,8,2025-03,1858,59.1
130,8,2025-04,1962,5.6
131,8,2025-05,1745,-11.1
132,8,2025-06,1612,-7.6
133,8,2025-07,1840,14.1
134,8,2025-08,2320,26.1
135,8,2025-09,2481,6.9
136,8,2025-10,2141,-13.7
137,8,2025-11,1603,-25.1
138,8,2025-12,2171,35.4
139,8,2026-01,1579,-27.3
140,8,2026-02,1281,-18.9
141,8,2026-03,2728,113.0
142,8,2026-04,2220,-18.6
143,8,2026-05,1691,-23.8
144,8,2026-06,1899,12.3
145,9,2025-01,1544,0.0
146,9,2025-02,1356,-12.2
147,9,2025-03,2356,73.7
148,9,2025-04,2180,-7.5
149,9,2025-05,2190,0.5
150,9,2025-06,2304,5.2
151,9,2025-07,2364,2.6
152,9,2025-08,2394,1.3
153,9,2025-09,2889,20.7
154,9,2025-10,2238,-22.5
155,9,2025-11,1943,-13.2
156,9,2025-12,2326,19.7
157,9,2026-01,1797,-22.7
158,9,2026-02,1438,-20.0
159,9,2026-03,2938,104.3
160,9,2026-04,1979,-32.6
161,9,2026-05,1901,-3.9
162,9,2026-06,2491,31.0
163,10,2025-01,629,0.0
164,10,2025-02,457,-27.3
165,10,2025-03,1204,163.5
166,10,2025-04,985,-18.2
167,10,2025-05,1235,25.4
168,10,2025-06,999,-19.1
169,10,2025-07,955,-4.4
170,10,2025-08,948,-0.7
171,10,2025-09,1232,30.0
172,10,2025-10,1096,-11.0
173,10,2025-11,805,-26.6
174,10,2025-12,1136,41.1
175,10,2026-01,717,-36.9
176,10,2026-02,399,-44.4
177,10,2026-03,1105,176.9
178,10,2026-04,945,-14.5
179,10,2026-05,1120,18.5
180,10,2026-06,949,-15.3
181,11,2025-01,1484,0.0
182,11,2025-02,873,-41.2
183,11,2025-03,1881,115.5
184,11,2025-04,2132,13.3
185,11,2025-05,1658,-22.2
186,11,2025-06,1492,-10.0
187,11,2025-07,1686,13.0
188,11,2025-08,1717,1.8
189,11,2025-09,2491,45.1
190,11,2025-10,2449,-1.7
191,11,2025-11,1530,-37.5
192,11,2025-12,1910,24.8
193,11,2026-01,1262,-33.9
194,11,2026-02,1090,-13.6
195,11,2026-03,2375,117.9
196,11,2026-04,1917,-19.3
197,11,2026-05,1674,-12.7
198,11,2026-06,1481,-11.5
199,12,2025-01,754,0.0
200,12,2025-02,791,4.9
201,12,2025-03,1658,109.6
202,12,2025-04,1609,-3.0
203,12,2025-05,1317,-18.1
204,12,2025-06,1676,27.3
205,12,2025-07,1367,-18.4
206,12,2025-08,1364,-0.2
207,12,2025-09,1875,37.5
208,12,2025-10,1463,-22.0
209,12,2025-11,1485,1.5
210,12,2025-12,1142,-23.1
211,12,2026-01,1044,-8.6
212,12,2026-02,834,-20.1
213,12,2026-03,1697,103.5
214,12,2026-04,1475,-13.1
215,12,2026-05,1169,-20.7
216,12,2026-06,1169,0.0
217,13,2025-01,1501,0.0
218,13,2025-02,1150,-23.4
219,13,2025-03,2021,75.7
220,13,2025-04,2007,-0.7
221,13,2025-05,1914,-4.6
222,13,2025-06,2146,12.1
223,13,2025-07,2079,-3.1
224,13,2025-08,2027,-2.5
225,13,2025-09,2269,11.9
226,13,2025-10,2695,18.8
227,13,2025-11,1924,-28.6
228,13,2025-12,1832,-4.8
229,13,2026-01,1186,-35.3
230,13,2026-02,1070,-9.8
231,13,2026-03,2289,113.9
232,13,2026-04,2292,0.1
233,13,2026-05,2224,-3.0
234,13,2026-06,2173,-2.3
235,14,2025-01,1479,0.0
236,14,2025-02,1373,-7.2
237,14,2025-03,3183,131.8
238,14,2025-04,2437,-23.4
239,14,2025-05,2502,2.7
240,14,2025-06,1636,-34.6
241,14,2025-07,1922,17.5
242,14,2025-08,2021,5.2
243,14,2025-09,1872,-7.4
244,14,2025-10,2575,37.6
245,14,2025-11,2614,1.5
246,14,2025-12,2201,-15.8
247,14,2026-01,1635,-25.7
248,14,2026-02,1232,-24.6
249,14,2026-03,2590,110.2
250,14,2026-04,2497,-3.6
251,14,2026-05,1974,-20.9
252,14,2026-06,2505,26.9
253,15,2025-01,1347,0.0
254,15,2025-02,1558,15.7
255,15,2025-03,2823,81.2
256,15,2025-04,3094,9.6
257,15,2025-05,2728,-11.8
258,15,2025-06,1781,-34.7
259,15,2025-07,1773,-0.4
260,15,2025-08,2309,30.2
261,15,2025-09,3054,32.3
262,15,2025-10,2931,-4.0
263,15,2025-11,2634,-10.1
264,15,2025-12,2972,12.8
265,15,2026-01,1463,-50.8
266,15,2026-02,1175,-19.7
267,15,2026-03,3090,163.0
268,15,2026-04,2511,-18.7
269,15,2026-05,2468,-1.7
270,15,2026-06,2192,-11.2
271,16,2025-01,1418,0.0
272,16,2025-02,1463,3.2
273,16,2025-03,2000,36.7
274,16,2025-04,1853,-7.4
275,16,2025-05,2229,20.3
276,16,2025-06,2336,4.8
277,16,2025-07,2018,-13.6
278,16,2025-08,1844,-8.6
279,16,2025-09,2044,10.8
280,16,2025-10,2561,25.3
281,16,2025-11,1847,-27.9
282,16,2025-12,2871,55.4
283,16,2026-01,1856,-35.4
284,16,2026-02,1275,-31.3
285,16,2026-03,2628,106.1
286,16,2026-04,2142,-18.5
287,16,2026-05,2353,9.9
288,16,2026-06,1965,-16.5
289,17,2025-01,1464,0.0
290,17,2025-02,1452,-0.8
291,17,2025-03,2692,85.4
292,17,2025-04,2759,2.5
293,17,2025-05,1686,-38.9
294,17,2025-06,1865,10.6
295,17,2025-07,1881,0.9
296,17,2025-08,2446,30.0
297,17,2025-09,2594,6.1
298,17,2025-10,2737,5.5
299,17,2025-11,1925,-29.7
300,17,2025-12,2326,20.8
301,17,2026-01,2038,-12.4
302,17,2026-02,1643,-19.4
303,17,2026-03,2132,29.8
304,17,2026-04,2520,18.2
305,17,2026-05,2534,0.6
306,17,2026-06,2065,-18.5
307,18,2025-01,838,0.0
308,18,2025-02,893,6.6
309,18,2025-03,1676,87.7
310,18,2025-04,1545,-7.8
311,18,2025-05,1353,-12.4
312,18,2025-06,1677,23.9
313,18,2025-07,1228,-26.8
314,18,2025-08,1362,10.9
315,18,2025-09,1904,39.8
316,18,2025-10,1801,-5.4
317,18,2025-11,1209,-32.9
318,18,2025-12,1754,45.1
319,18,2026-01,796,-54.6
320,18,2026-02,828,4.0
321,18,2026-03,1594,92.5
322,18,2026-04,1325,-16.9
323,18,2026-05,1567,18.3
324,18,2026-06,941,-39.9
325,19,2025-01,440,0.0
326,19,2025-02,369,-16.1
327,19,2025-03,914,147.7
328,19,2025-04,859,-6.0
329,19,2025-05,754,-12.2
330,19,2025-06,765,1.5
331,19,2025-07,505,-34.0
332,19,2025-08,738,46.1
333,19,2025-09,748,1.4
334,19,2025-10,790,5.6
335,19,2025-11,745,-5.7
336,19,2025-12,767,3.0
337,19,2026-01,562,-26.7
338,19,2026-02,315,-44.0
339,19,2026-03,744,136.2
340,19,2026-04,595,-20.0
341,19,2026-05,554,-6.9
342,19,2026-06,734,32.5
343,20,2025-01,1936,0.0
344,20,2025-02,1933,-0.2
345,20,2025-03,3731,93.0
346,20,2025-04,2889,-22.6
347,20,2025-05,2418,-16.3
348,20,2025-06,2918,20.7
349,20,2025-07,2524,-13.5
350,20,2025-08,2480,-1.7
351,20,2025-09,3101,25.0
352,20,2025-10,3378,8.9
353,20,2025-11,3365,-0.4
354,20,2025-12,3088,-8.2
355,20,2026-01,2390,-22.6
356,20,2026-02,1810,-24.3
357,20,2026-03,3407,88.2
358,20,2026-04,4178,22.6
359,20,2026-05,3664,-12.3
360,20,2026-06,2931,-20.0
361,21,2025-01,1134,0.0
362,21,2025-02,871,-23.2
363,21,2025-03,2264,159.9
364,21,2025-04,1832,-19.1
365,21,2025-05,1900,3.7
366,21,2025-06,1776,-6.5
367,21,2025-07,1894,6.6
368,21,2025-08,2149,13.5
369,21,2025-09,2428,13.0
370,21,2025-10,1972,-18.8
371,21,2025-11,1715,-13.0
372,21,2025-12,2118,23.5
373,21,2026-01,1097,-48.2
374,21,2026-02,1173,6.9
375,21,2026-03,2345,99.9
376,21,2026-04,1880,-19.8
377,21,2026-05,1631,-13.2
378,21,2026-06,1345,-17.5
379,22,2025-01,835,0.0
380,22,2025-02,666,-20.2
381,22,2025-03,1661,149.4
382,22,2025-04,1372,-17.4
383,22,2025-05,1227,-10.6
384,22,2025-06,1448,18.0
385,22,2025-07,1401,-3.2
386,22,2025-08,1457,4.0
387,22,2025-09,1914,31.4
388,22,2025-10,1861,-2.8
389,22,2025-11,1170,-37.1
390,22,2025-12,1646,40.7
391,22,2026-01,756,-54.1
392,22,2026-02,749,-0.9
393,22,2026-03,1857,147.9
394,22,2026-04,1569,-15.5
395,22,2026-05,1490,-5.0
396,22,2026-06,1339,-10.1
397,23,2025-01,1129,0.0
398,23,2025-02,674,-40.3
399,23,2025-03,1595,136.6
400,23,2025-04,1457,-8.7
401,23,2025-05,1717,17.8
402,23,2025-06,1472,-14.3
403,23,2025-07,1551,5.4
404,23,2025-08,1316,-15.2
405,23,2025-09,2278,73.1
406,23,2025-10,1749,-23.2
407,23,2025-11,1274,-27.2
408,23,2025-12,1945,52.7
409,23,2026-01,800,-58.9
410,23,2026-02,741,-7.4
411,23,2026-03,1609,117.1
412,23,2026-04,1278,-20.6
413,23,2026-05,1467,14.8
414,23,2026-06,1354,-7.7
415,24,2025-01,979,0.0
416,24,2025-02,1016,3.8
417,24,2025-03,1331,31.0
418,24,2025-04,1686,26.7
419,24,2025-05,1243,-26.3
420,24,2025-06,1541,24.0
421,24,2025-07,1695,10.0
422,24,2025-08,1849,9.1
423,24,2025-09,1752,-5.2
424,24,2025-10,1424,-18.7
425,24,2025-11,1506,5.8
426,24,2025-12,1508,0.1
427,24,2026-01,761,-49.5
428,24,2026-02,901,18.4
429,24,2026-03,1472,63.4
430,24,2026-04,1699,15.4
431,24,2026-05,1539,-9.4
432,24,2026-06,1266,-17.7
433,25,2025-01,970,0.0
434,25,2025-02,803,-17.2
435,25,2025-03,1565,94.9
436,25,2025-04,1987,27.0
437,25,2025-05,1224,-38.4
438,25,2025-06,1319,7.8
439,25,2025-07,1544,17.1
440,25,2025-08,1382,-10.5
441,25,2025-09,1658,20.0
442,25,2025-10,1391,-16.1
443,25,2025-11,1656,19.1
444,25,2025-12,1647,-0.5
445,25,2026-01,1020,-38.1
446,25,2026-02,678,-33.5
447,25,2026-03,1756,159.0
448,25,2026-04,1498,-14.7
449,25,2026-05,1324,-11.6
450,25,2026-06,1094,-17.4
451,26,2025-01,627,0.0
452,26,2025-02,486,-22.5
453,26,2025-03,1099,126.1
454,26,2025-04,962,-12.5
455,26,2025-05,875,-9.0
456,26,2025-06,961,9.8
457,26,2025-07,910,-5.3
458,26,2025-08,1027,12.9
459,26,2025-09,1259,22.6
460,26,2025-10,1244,-1.2
461,26,2025-11,861,-30.8
462,26,2025-12,980,13.8
463,26,2026-01,771,-21.3
464,26,2026-02,607,-21.3
465,26,2026-03,1358,123.7
466,26,2026-04,1143,-15.8
467,26,2026-05,949,-17.0
468,26,2026-06,1055,11.2
469,27,2025-01,612,0.0
470,27,2025-02,605,-1.1
471,27,2025-03,1331,120.0
472,27,2025-04,1080,-18.9
473,27,2025-05,1163,7.7
474,27,2025-06,707,-39.2
475,27,2025-07,857,21.2
476,27,2025-08,935,9.1
477,27,2025-09,1141,22.0
478,27,2025-10,1159,1.6
479,27,2025-11,930,-19.8
480,27,2025-12,1158,24.5
481,27,2026-01,776,-33.0
482,27,2026-02,626,-19.3
483,27,2026-03,1051,67.9
484,27,2026-04,1118,6.4
485,27,2026-05,1083,-3.1
486,27,2026-06,995,-8.1
487,28,2025-01,729,0.0
488,28,2025-02,729,0.0
489,28,2025-03,1169,60.4
490,28,2025-04,1050,-10.2
491,28,2025-05,1133,7.9
492,28,2025-06,1063,-6.2
493,28,2025-07,1163,9.4
494,28,2025-08,1073,-7.7
495,28,2025-09,1161,8.2
496,28,2025-10,1086,-6.5
497,28,2025-11,1061,-2.3
498,28,2025-12,1288,21.4
499,28,2026-01,874,-32.1
500,28,2026-02,536,-38.7
501,28,2026-03,1464,173.1
502,28,2026-04,1194,-18.4
503,28,2026-05,1008,-15.6
504,28,2026-06,1386,37.5
505,29,2025-01,249,0.0
506,29,2025-02,228,-8.4
507,29,2025-03,546,139.5
508,29,2025-04,340,-37.7
509,29,2025-05,333,-2.1
510,29,2025-06,392,17.7
511,29,2025-07,296,-24.5
512,29,2025-08,373,26.0
513,29,2025-09,462,23.9
514,29,2025-10,475,2.8
515,29,2025-11,391,-17.7
516,29,2025-12,349,-10.7
517,29,2026-01,297,-14.9
518,29,2026-02,252,-15.2
519,29,2026-03,400,58.7
520,29,2026-04,369,-7.8
521,29,2026-05,360,-2.4
522,29,2026-06,315,-12.5
523,30,2025-01,819,0.0
524,30,2025-02,600,-26.7
525,30,2025-03,1210,101.7
526,30,2025-04,961,-20.6
527,30,2025-05,999,4.0
528,30,2025-06,1177,17.8
529,30,2025-07,1149,-2.4
530,30,2025-08,895,-22.1
531,30,2025-09,1215,35.8
532,30,2025-10,1373,13.0
533,30,2025-11,1053,-23.3
534,30,2025-12,1098,4.3
535,30,2026-01,716,-34.8
536,30,2026-02,576,-19.6
537,30,2026-03,1392,141.7
538,30,2026-04,1152,-17.2
539,30,2026-05,1310,13.7
540,30,2026-06,1089,-16.9
541,31,2025-01,642,0.0
542,31,2025-02,676,5.3
543,31,2025-03,1454,115.1
544,31,2025-04,1001,-31.2
545,31,2025-05,834,-16.7
546,31,2025-06,942,12.9
547,31,2025-07,884,-6.2
548,31,2025-08,1329,50.3
549,31,2025-09,1149,-13.5
550,31,2025-10,1226,6.7
551,31,2025-11,1317,7.4
552,31,2025-12,1299,-1.4
553,31,2026-01,749,-42.3
554,31,2026-02,622,-17.0
555,31,2026-03,1346,116.4
556,31,2026-04,1172,-12.9
557,31,2026-05,1359,16.0
558,31,2026-06,1077,-20.8
559,32,2025-01,608,0.0
560,32,2025-02,698,14.8
561,32,2025-03,1408,101.7
562,32,2025-04,1068,-24.1
563,32,2025-05,1146,7.3
564,32,2025-06,1005,-12.3
565,32,2025-07,902,-10.2
566,32,2025-08,1100,22.0
567,32,2025-09,1189,8.1
568,32,2025-10,1179,-0.8
569,32,2025-11,993,-15.8
570,32,2025-12,1223,23.2
571,32,2026-01,816,-33.3
572,32,2026-02,577,-29.3
573,32,2026-03,1224,112.1
574,32,2026-04,1207,-1.4
575,32,2026-05,1217,0.8
576,32,2026-06,1107,-9.0
577,33,2025-01,534,0.0
578,33,2025-02,720,34.8
579,33,2025-03,1518,110.8
580,33,2025-04,1307,-13.9
581,33,2025-05,1117,-14.5
582,33,2025-06,1080,-3.3
583,33,2025-07,972,-10.0
584,33,2025-08,1136,16.9
585,33,2025-09,1192,4.9
586,33,2025-10,1295,8.6
587,33,2025-11,927,-28.4
588,33,2025-12,1259,35.8
589,33,2026-01,764,-39.3
590,33,2026-02,749,-2.0
591,33,2026-03,1406,87.7
592,33,2026-04,1140,-18.9
593,33,2026-05,1269,11.3
594,33,2026-06,943,-25.7
595,34,2025-01,183,0.0
596,34,2025-02,152,-16.9
597,34,2025-03,355,133.6
598,34,2025-04,284,-20.0
599,34,2025-05,282,-0.7
600,34,2025-06,277,-1.8
601,34,2025-07,197,-28.9
602,34,2025-08,257,30.5
603,34,2025-09,364,41.6
604,34,2025-10,373,2.5
605,34,2025-11,312,-16.4
606,34,2025-12,355,13.8
607,34,2026-01,202,-43.1
608,34,2026-02,181,-10.4
609,34,2026-03,337,86.2
610,34,2026-04,298,-11.6
611,34,2026-05,270,-9.4
612,34,2026-06,267,-1.1
613,35,2025-01,1419,0.0
614,35,2025-02,1151,-18.9
615,35,2025-03,2512,118.2
616,35,2025-04,1718,-31.6
617,35,2025-05,2206,28.4
618,35,2025-06,2041,-7.5
619,35,2025-07,2223,8.9
620,35,2025-08,2098,-5.6
621,35,2025-09,2590,23.5
622,35,2025-10,2853,10.2
623,35,2025-11,2198,-23.0
624,35,2025-12,2913,32.5
625,35,2026-01,1328,-54.4
626,35,2026-02,1332,0.3
627,35,2026-03,2380,78.7
628,35,2026-04,2187,-8.1
629,35,2026-05,2087,-4.6
630,35,2026-06,2069,-0.9
631,36,2025-01,1589,0.0
632,36,2025-02,1077,-32.2
633,36,2025-03,2688,149.6
634,36,2025-04,1817,-32.4
635,36,2025-05,1996,9.9
636,36,2025-06,2315,16.0
637,36,2025-07,2227,-3.8
638,36,2025-08,2294,3.0
639,36,2025-09,2966,29.3
640,36,2025-10,2729,-8.0
641,36,2025-11,2408,-11.8
642,36,2025-12,2749,14.2
643,36,2026-01,1398,-49.1
644,36,2026-02,1361,-2.6
645,36,2026-03,2963,117.7
646,36,2026-04,2632,-11.2
647,36,2026-05,2460,-6.5
648,36,2026-06,2540,3.3
649,37,2025-01,682,0.0
650,37,2025-02,523,-23.3
651,37,2025-03,1443,175.9
652,37,2025-04,1098,-23.9
653,37,2025-05,980,-10.7
654,37,2025-06,1003,2.3
655,37,2025-07,1000,-0.3
656,37,2025-08,1245,24.5
657,37,2025-09,1526,22.6
658,37,2025-10,1324,-13.2
659,37,2025-11,1192,-10.0
660,37,2025-12,1181,-0.9
661,37,2026-01,897,-24.0
662,37,2026-02,491,-45.3
663,37,2026-03,1183,140.9
664,37,2026-04,1201,1.5
665,37,2026-05,1095,-8.8
666,37,2026-06,972,-11.2
667,38,2025-01,1357,0.0
668,38,2025-02,958,-29.4
669,38,2025-03,2234,133.2
670,38,2025-04,1939,-13.2
671,38,2025-05,1837,-5.3
672,38,2025-06,1565,-14.8
673,38,2025-07,1792,14.5
674,38,2025-08,2216,23.7
675,38,2025-09,2554,15.3
676,38,2025-10,2476,-3.1
677,38,2025-11,1929,-22.1
678,38,2025-12,1628,-15.6
679,38,2026-01,1311,-19.5
680,38,2026-02,1172,-10.6
681,38,2026-03,2767,136.1
682,38,2026-04,2386,-13.8
683,38,2026-05,2107,-11.7
684,38,2026-06,1713,-18.7
685,39,2025-01,577,0.0
686,39,2025-02,473,-18.0
687,39,2025-03,951,101.1
688,39,2025-04,732,-23.0
689,39,2025-05,866,18.3
690,39,2025-06,779,-10.0
691,39,2025-07,905,16.2
692,39,2025-08,716,-20.9
693,39,2025-09,933,30.3
694,39,2025-10,1436,53.9
695,39,2025-11,783,-45.5
696,39,2025-12,952,21.6
697,39,2026-01,658,-30.9
698,39,2026-02,473,-28.1
699,39,2026-03,1300,174.8
700,39,2026-04,937,-27.9
701,39,2026-05,918,-2.0
702,39,2026-06,1046,13.9
703,40,2025-01,1143,0.0
704,40,2025-02,1022,-10.6
705,40,2025-03,2087,104.2
706,40,2025-04,1596,-23.5
707,40,2025-05,1885,18.1
708,40,2025-06,1837,-2.5
709,40,2025-07,1875,2.1
710,40,2025-08,2084,11.1
711,40,2025-09,2647,27.0
712,40,2025-10,2310,-12.7
713,40,2025-11,1891,-18.1
714,40,2025-12,2345,24.0
715,40,2026-01,1273,-45.7
716,40,2026-02,1394,9.5
717,40,2026-03,2338,67.7
718,40,2026-04,2292,-2.0
719,40,2026-05,2444,6.6
720,40,2026-06,1390,-43.1
721,41,2025-01,1419,0.0
722,41,2025-02,1188,-16.3
723,41,2025-03,3017,154.0
724,41,2025-04,2090,-30.7
725,41,2025-05,2786,33.3
726,41,2025-06,1632,-41.4
727,41,2025-07,2198,34.7
728,41,2025-08,2118,-3.6
729,41,2025-09,2925,38.1
730,41,2025-10,2379,-18.7
731,41,2025-11,2118,-11.0
732,41,2025-12,1838,-13.2
733,41,2026-01,1618,-12.0
734,41,2026-02,1126,-30.4
735,41,2026-03,2320,106.0
736,41,2026-04,2440,5.2
737,41,2026-05,2272,-6.9
738,41,2026-06,2466,8.5
739,42,2025-01,1217,0.0
740,42,2025-02,1311,7.7
741,42,2025-03,2601,98.4
742,42,2025-04,2117,-18.6
743,42,2025-05,1896,-10.4
744,42,2025-06,1980,4.4
745,42,2025-07,2334,17.9
746,42,2025-08,2122,-9.1
747,42,2025-09,3038,43.2
748,42,2025-10,2469,-18.7
749,42,2025-11,2703,9.5
750,42,2025-12,2360,-12.7
751,42,2026-01,1564,-33.7
752,42,2026-02,1107,-29.2
753,42,2026-03,2281,106.1
754,42,2026-04,2525,10.7
755,42,2026-05,2242,-11.2
756,42,2026-06,2270,1.2
757,43,2025-01,666,0.0
758,43,2025-02,613,-8.0
759,43,2025-03,1158,88.9
760,43,2025-04,1137,-1.8
761,43,2025-05,1021,-10.2
762,43,2025-06,1223,19.8
763,43,2025-07,968,-20.9
764,43,2025-08,1260,30.2
765,43,2025-09,1204,-4.4
766,43,2025-10,1205,0.1
767,43,2025-11,1006,-16.5
768,43,2025-12,1354,34.6
769,43,2026-01,840,-38.0
770,43,2026-02,697,-17.0
771,43,2026-03,1415,103.0
772,43,2026-04,1050,-25.8
773,43,2026-05,1346,28.2
774,43,2026-06,1281,-4.8
775,44,2025-01,566,0.0
776,44,2025-02,489,-13.6
777,44,2025-03,1056,116.0
778,44,2025-04,841,-20.4
779,44,2025-05,801,-4.8
780,44,2025-06,736,-8.1
781,44,2025-07,791,7.5
782,44,2025-08,819,3.5
783,44,2025-09,1173,43.2
784,44,2025-10,959,-18.2
785,44,2025-11,831,-13.3
786,44,2025-12,851,2.4
787,44,2026-01,512,-39.8
788,44,2026-02,637,24.4
789,44,2026-03,1143,79.4
790,44,2026-04,1043,-8.7
791,44,2026-05,844,-19.1
792,44,2026-06,1009,19.5
793,45,2025-01,246,0.0
794,45,2025-02,244,-0.8
795,45,2025-03,416,70.5
796,45,2025-04,364,-12.5
797,45,2025-05,327,-10.2
798,45,2025-06,336,2.8
799,45,2025-07,361,7.4
800,45,2025-08,436,20.8
801,45,2025-09,544,24.8
802,45,2025-10,430,-21.0
803,45,2025-11,427,-0.7
804,45,2025-12,264,-38.2
805,45,2026-01,251,-4.9
806,45,2026-02,235,-6.4
807,45,2026-03,507,115.7
808,45,2026-04,422,-16.8
809,45,2026-05,381,-9.7
810,45,2026-06,345,-9.4
811,46,2025-01,571,0.0
812,46,2025-02,666,16.6
813,46,2025-03,1235,85.4
814,46,2025-04,1105,-10.5
815,46,2025-05,913,-17.4
816,46,2025-06,813,-11.0
817,46,2025-07,978,20.3
818,46,2025-08,963,-1.5
819,46,2025-09,1180,22.5
820,46,2025-10,1106,-6.3
821,46,2025-11,899,-18.7
822,46,2025-12,916,1.9
823,46,2026-01,674,-26.4
824,46,2026-02,497,-26.3
825,46,2026-03,1282,157.9
826,46,2026-04,1155,-9.9
827,46,2026-05,909,-21.3
828,46,2026-06,745,-18.0
829,47,2025-01,1323,0.0
830,47,2025-02,1117,-15.6
831,47,2025-03,2183,95.4
832,47,2025-04,1604,-26.5
833,47,2025-05,1405,-12.4
834,47,2025-06,2095,49.1
835,47,2025-07,1787,-14.7
836,47,2025-08,2048,14.6
837,47,2025-09,2378,16.1
838,47,2025-10,2330,-2.0
839,47,2025-11,1648,-29.3
840,47,2025-12,1936,17.5
841,47,2026-01,1163,-39.9
842,47,2026-02,1038,-10.7
843,47,2026-03,2190,111.0
844,47,2026-04,1644,-24.9
845,47,2026-05,1894,15.2
846,47,2026-06,1746,-7.8
847,48,2025-01,1246,0.0
848,48,2025-02,1228,-1.4
849,48,2025-03,2501,103.7
850,48,2025-04,1976,-21.0
851,48,2025-05,2605,31.8
852,48,2025-06,2171,-16.7
853,48,2025-07,2394,10.3
854,48,2025-08,2134,-10.9
855,48,2025-09,3054,43.1
856,48,2025-10,2787,-8.7
857,48,2025-11,1966,-29.5
858,48,2025-12,2160,9.9
